Code,Area,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017
E02000201,Croydon 008,300483,306635,305306,308709
E02000202,Croydon 009,343676,353695,363346,369526
E02000203,Croydon 010,305768,310489,320475,318117
E02000204,Croydon 011,312287,325313,335790,355356
E02000206,Croydon 013,300779,308572,320715,313088
E02000207,Croydon 014,321531,335206,336128,329710
E02000208,Croydon 015,273104,279157,280478,288072
E02000209,Croydon 016,312852,314119,310135,316485
E02000210,Croydon 017,370754,364239,363103,359670
E02000211,Croydon 018,404093,413928,417243,414980
E02000212,Croydon 019,300473,301040,303388,308887
E02000213,Croydon 020,302988,289480,279744,285928
E02000214,Croydon 021,460013,452928,464715,453634
E02000215,Croydon 022,348765,354644,356250,363241
E02000216,Croydon 023,446921,459341,488531,491128
E02000217,Croydon 024,297018,290860,290903,294449
E02000218,Croydon 025,446552,466236,484698,495968
E02000219,Croydon 026,499680,480404,481059,484018
E02000220,Croydon 027,303755,316919,346939,350200
E02000221,Croydon 028,331592,340283,345329,344183
E02000222,Croydon 029,374191,382887,397876,401234
E02000223,Croydon 030,274333,278857,283192,292840
E02000224,Croydon 031,368179,374508,385568,374488
E02000225,Croydon 032,308627,316316,318883,321640
E02000226,Croydon 033,437669,484671,492016,495780
E02000227,Croydon 034,302132,309059,313538,320354
E02000228,Croydon 035,616097,635957,623093,620609
E02000229,Croydon 036,296032,294681,308732,319077
E02000230,Croydon 037,423154,423929,434494,448459
E02000231,Croydon 038,677076,705010,746226,747820
E02000232,Croydon 039,536691,529997,525223,525476
E02000233,Croydon 040,423022,422729,401163,424061
E02000234,Croydon 041,480884,481751,451702,428264
E02000235,Croydon 042,480533,470588,505239,522605
E02000236,Croydon 043,501810,511153,513267,512446
E02000237,Croydon 044,440489,445612,443098,441360
E02006788,Croydon 045,369597,374673,378477,391997
E02000238,Ealing 001,357413,361137,370262,391309
E02000239,Ealing 002,430276,416631,433042,430811
E02000240,Ealing 003,361747,379850,374077,374889
E02000241,Ealing 004,391836,389649,393006,406332
E02000242,Ealing 005,458922,473667,469118,463240
E02000243,Ealing 006,354178,373189,403698,431715
E02000244,Ealing 007,398245,418707,407132,405479
E02000245,Ealing 008,291574,297335,299196,296655
E02000246,Ealing 009,360034,367734,359482,357306
E02000247,Ealing 010,298659,317161,323038,326202
E02000248,Ealing 011,573409,589360,554577,525188
E02000249,Ealing 012,410266,413397,411866,407082
E02000250,Ealing 013,767513,796835,811279,801696
E02000251,Ealing 014,392782,404147,413952,425677
E02000252,Ealing 015,381944,387023,412149,423476
E02000253,Ealing 016,457700,461872,471094,473810
E02000254,Ealing 017,366711,397081,398714,406643
E02000255,Ealing 018,689726,707196,731438,717608
E02000256,Ealing 019,679891,745451,760657,792869
E02000257,Ealing 020,725726,780944,830897,803802
E02000258,Ealing 021,700981,714049,683957,622076
E02000259,Ealing 022,606065,584832,578079,590606
E02000260,Ealing 023,338464,343880,337703,313542
E02000261,Ealing 024,537138,569123,622464,681830
E02000262,Ealing 025,591558,599693,608783,602414
E02000263,Ealing 026,312948,319383,324481,346594
E02000264,Ealing 027,804517,796123,701229,758475
E02000265,Ealing 028,530234,536733,560051,561111
E02000266,Ealing 029,352854,366663,392120,411555
E02000267,Ealing 030,572084,552648,555660,528266
E02000268,Ealing 031,810537,835650,786719,796107
E02000269,Ealing 032,785723,816343,845037,842387
E02000270,Ealing 033,547783,555070,575752,580287
E02000271,Ealing 034,878879,895694,908505,1031259
E02000272,Ealing 035,694668,721673,723832,707269
E02000274,Ealing 037,253165,324071,355878,339386
E02000275,Ealing 038,449692,495786,508776,508767
E02000276,Ealing 039,626678,615978,596142,591881
E02006791,Ealing 040,740195,778849,778158,724996
E02000277,Enfield 001,349588,356350,365084,358679
E02000278,Enfield 002,311250,316304,305473,311749
E02000279,Enfield 003,315235,303449,302813,289544
E02000280,Enfield 004,484304,501736,493778,474892
E02000281,Enfield 005,330670,337664,362797,375264
E02000282,Enfield 006,288231,297575,288813,321281
E02000283,Enfield 007,349348,344186,346000,344351
E02000284,Enfield 008,433181,437382,438010,439899
E02000285,Enfield 009,521246,508780,498966,488601
E02000286,Enfield 010,430332,462560,449643,443779
E02000287,Enfield 011,703848,688464,649545,662484
E02000288,Enfield 012,336934,331591,319478,322066
E02000289,Enfield 013,658441,664159,667973,660405
E02000290,Enfield 014,301728,289146,279295,272702
E02000291,Enfield 015,387300,383261,370146,386788
E02000292,Enfield 016,400220,404832,399090,392198
E02000293,Enfield 017,790994,848871,886732,880342
E02000294,Enfield 018,339461,336831,340959,349635
E02000295,Enfield 019,493869,491605,485975,486192
E02000296,Enfield 020,450329,449355,451137,466544
E02000297,Enfield 021,493686,498985,496521,519475
E02000298,Enfield 022,797101,806145,831599,889583
E02000299,Enfield 023,306032,322403,325386,326658
E02000300,Enfield 024,305346,324867,324926,319613
E02000301,Enfield 025,300688,289198,285955,312765
E02000302,Enfield 026,492134,487483,503623,479418
E02000303,Enfield 027,305094,324737,330819,319621
E02000304,Enfield 028,777888,761789,753637,763733
E02000305,Enfield 029,549840,562054,551558,540450
E02000306,Enfield 030,284397,275421,263450,263924
E02000307,Enfield 031,370269,380429,385198,391225
E02000308,Enfield 032,515691,501836,532333,563227
E02000309,Enfield 033,315605,319507,328308,318902
E02000311,Enfield 035,381408,400576,399255,424661
E02000312,Enfield 036,523222,529536,531918,551375
E02006793,Enfield 037,297079,297473,305381,306550
E02000313,Greenwich 001,221714,226855,226340,227216
E02000314,Greenwich 002,268074,272093,275727,284095
E02000315,Greenwich 003,298950,305793,308344,315341
E02000316,Greenwich 004,365526,383178,389225,419752
E02000317,Greenwich 005,379958,386344,411895,422346
E02000318,Greenwich 006,310192,319135,333361,324771
E02000319,Greenwich 007,307456,310510,320173,321499
E02000320,Greenwich 008,362623,359594,362023,359391
E02000321,Greenwich 009,289159,301060,312764,317233
E02000323,Greenwich 011,323180,335585,357133,386027
E02000324,Greenwich 012,458971,456880,460625,449265
