Code,Area,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,count,avg2017
E01001152,Croydon 005D,266476,286737,293405,296605,4,285805.75
E01001153,Croydon 006D,345300,354625,361092,379238,4,360063.75
E01001154,Croydon 006E,330798,335278,331550,341352,4,334744.5
E01001155,Croydon 010E,266528,268370,298079,295934,4,282227.75
E01001156,Croydon 001C,512788,506806,624509,541006,4,546277.25
E01001157,Croydon 002B,442946,486128,442989,422545,4,448652
E01001158,Croydon 005E,358567,344855,341117,371020,4,353889.75
E01001159,Croydon 002C,456805,441765,443108,438838,4,445129
E01001160,Croydon 002D,464318,464367,495556,467483,4,472931
E01001161,Croydon 003D,346931,345188,333200,352750,4,344517.25
E01001162,Croydon 001D,368108,377139,439342,418595,4,400796
E01001163,Croydon 002E,494585,502263,411350,427249,4,458861.75
E01001164,Croydon 001E,421200,451144,480206,500306,4,463214
E01001165,Croydon 024C,300670,311887,314033,329667,4,314064.25
E01001166,Croydon 024D,300573,285649,294800,312900,4,298480.5
E01001167,Croydon 028A,310400,332293,366548,365770,4,343752.75
E01001168,Croydon 024E,290962,290178,296952,308141,4,296558.25
E01001169,Croydon 028B,362794,359200,373269,383150,4,369603.25
E01001170,Croydon 027E,292180,286759,288741,293026,4,290176.5
E01001171,Croydon 028C,405929,392693,363984,349270,4,377969
E01001172,Croydon 028D,293958,294227,306708,279500,4,293598.25
E01001173,Croydon 028E,317063,328625,316520,335706,4,324478.5
